Failure points:
Failed at r = 0.5, phi = 0, z = 154
Failed at r = 1.5, phi = 5, z = 154.5
Failed at r = 2.5, phi = 20, z = 155.0
Failed at r = 3.5, phi = 35, z = 155.5
Failed at r = 5.0, phi = 25, z = 156.0
Failed at r = 6.0, phi = 35, z = 156.5
Failed at r = 7.5, phi = 30, z = 157.0
Failed at r = 8.5, phi = 35, z = 157.5
Failed at r = 10.0, phi = 30, z = 158.0
Failed at r = 11.0, phi = 40, z = 158.5
Failed at r = 12.5, phi = 35, z = 159.0
Failed at r = 14.0, phi = 35, z = 159.5
Failed at r = 15.5, phi = 35, z = 160.0
Failed at r = 17.0, phi = 35, z = 160.5
Failed at r = 18.5, phi = 35, z = 161.0
Failed at r = 20.0, phi = 40, z = 161.5
Failed at r = 21.5, phi = 40, z = 162.0
Failed at r = 23.0, phi = 45, z = 162.5
Failed at r = 25.0, phi = 40, z = 163.0
Failed at r = 27.0, phi = 40, z = 163.5
Failed at r = 28.5, phi = 45, z = 164.0
Failed at r = 30.5, phi = 5, z = 164.5
Failed at r = 30.0, phi = 0, z = 165.0
Failed at r = 29.0, phi = 5, z = 165.5
Failed at r = 28.5, phi = 0, z = 166.0
Failed at r = 27.5, phi = 5, z = 166.5
Failed at r = 26.5, phi = 5, z = 167.0
Failed at r = 26.0, phi = 0, z = 167.5
Failed at r = 25.0, phi = 5, z = 168.0
Failed at r = 24.0, phi = 5, z = 168.5
Failed at r = 23.5, phi = 0, z = 169.0
Failed at r = 22.5, phi = 0, z = 169.5
Failed at r = 21.5, phi = 5, z = 170.0
Failed at r = 20.5, phi = 5, z = 170.5
Failed at r = 19.5, phi = 10, z = 171.0
Failed at r = 19.0, phi = 0, z = 171.5
Failed at r = 18.0, phi = 0, z = 172.0
Failed at r = 17.0, phi = 0, z = 172.5
Failed at r = 16.0, phi = 0, z = 173.0
Failed at r = 15.0, phi = 5, z = 173.5
Failed at r = 14.0, phi = 5, z = 174.0
Failed at r = 13.0, phi = 5, z = 174.5
Failed at r = 12.0, phi = 0, z = 175.0
Failed at r = 11.0, phi = 0, z = 175.5
Failed at r = 10.0, phi = 0, z = 176.0
Failed at r = 9.0, phi = 0, z = 176.5
Failed at r = 8.0, phi = 0, z = 177.0
Failed at r = 7.0, phi = 0, z = 177.5
Failed at r = 5.5, phi = 5, z = 178.0
Failed at r = 4.5, phi = 0, z = 178.5
Failed at r = 3.5, phi = 0, z = 179.0
Failed at r = 2.0, phi = 5, z = 179.5
Failed at r = 1.0, phi = 0, z = 180.0

Total Volume: 26358.64958701134
